GBPUSD Historical Data,,,,,,
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/04/2022 14:00,1.35151,1.35572,1.35091,1.35358,20.7,0.15
01/04/2022 10:00,1.3511,1.35154,1.34784,1.35145,3.5,0.03
01/04/2022 06:00,1.34685,1.35135,1.3459,1.35112,42.7,0.32
01/04/2022 02:00,1.348,1.34801,1.34626,1.3468,-12,-0.09
01/03/2022 22:00,1.34668,1.34849,1.34637,1.34802,13.4,0.1
01/03/2022 18:00,1.34711,1.34856,1.34701,1.34765,5.4,0.04
01/03/2022 14:00,1.34869,1.34923,1.34309,1.34713,-15.6,-0.12
01/03/2022 10:00,1.35172,1.35247,1.34835,1.34871,-30.1,-0.22
01/03/2022 06:00,1.34985,1.3528,1.34963,1.3517,18.5,0.14
01/03/2022 02:00,1.35171,1.35172,1.34948,1.34981,-19,-0.14
01/02/2022 22:00,1.35254,1.35332,1.35141,1.35174,-8,-0.06
01/01/2022 21:00,1.34782,1.34782,1.34782,1.34782,0,0
12/31/2021 18:00,1.35351,1.35438,1.35212,1.35237,-11.4,-0.08
12/31/2021 14:00,1.3504,1.35504,1.3501,1.35348,30.8,0.23
12/31/2021 10:00,1.35097,1.35163,1.34656,1.35043,-5.4,-0.04
12/31/2021 06:00,1.3496,1.35197,1.34938,1.35097,13.7,0.1
12/31/2021 02:00,1.35033,1.35048,1.34945,1.34959,-7.4,-0.05
12/30/2021 22:00,1.34983,1.35066,1.349,1.3503,4.7,0.03
12/30/2021 18:00,1.34859,1.35131,1.34799,1.35022,16.3,0.12
12/30/2021 14:00,1.34858,1.35217,1.34782,1.34859,0.1,0
12/30/2021 10:00,1.34594,1.35171,1.34587,1.34854,26,0.19
12/30/2021 06:00,1.34812,1.34833,1.34545,1.34594,-21.8,-0.16
12/30/2021 02:00,1.35039,1.35049,1.34794,1.34808,-23.1,-0.17
12/29/2021 22:00,1.34848,1.35048,1.34827,1.35038,19,0.14
12/29/2021 18:00,1.34822,1.349,1.3481,1.34871,4.9,0.04
12/29/2021 14:00,1.34545,1.34994,1.345,1.34823,27.8,0.21
12/29/2021 10:00,1.34124,1.34626,1.34083,1.34548,42.4,0.32
12/29/2021 06:00,1.34292,1.34303,1.34094,1.34126,-16.6,-0.12
12/29/2021 02:00,1.34244,1.34375,1.34231,1.34293,4.9,0.04
12/28/2021 22:00,1.34225,1.3437,1.34215,1.34245,2,0.01
12/28/2021 18:00,1.34357,1.34366,1.34204,1.34313,-4.4,-0.03
12/28/2021 14:00,1.34566,1.34595,1.34149,1.34361,-20.5,-0.15
